step,elapsed_s,step_time_s,training_time_s,grad_norm,learning_rate,loss,rlt_loss,vla_loss
54,36,0.352,0.349,3.16,1.35e-05,3.48,3.48,0.0
55,37,0.353,0.351,3.0,1.38e-05,3.46,3.46,0.0
56,37,0.351,0.348,2.84,1.4e-05,3.45,3.45,0.0
57,37,0.352,0.35,2.83,1.43e-05,3.36,3.36,0.0
58,38,0.35,0.348,2.81,1.45e-05,3.23,3.23,0.0
59,38,0.352,0.349,2.7,1.48e-05,3.14,3.14,0.0
60,38,0.351,0.348,2.73,1.5e-05,2.98,2.98,0.0
61,39,0.353,0.35,2.59,1.52e-05,2.91,2.91,0.0
62,39,0.359,0.356,2.59,1.55e-05,2.84,2.84,0.0
63,39,0.354,0.351,2.62,1.57e-05,2.8,2.8,0.0
64,40,0.358,0.355,2.67,1.6e-05,2.74,2.74,0.0
65,40,0.357,0.355,2.77,1.63e-05,2.64,2.64,0.0
66,41,0.352,0.35,2.88,1.65e-05,2.58,2.58,0.0
67,41,0.352,0.349,2.67,1.68e-05,2.58,2.58,0.0
68,41,0.353,0.351,2.61,1.7e-05,2.52,2.52,0.0
69,42,0.355,0.353,2.5,1.73e-05,2.48,2.48,0.0
70,42,0.351,0.349,2.44,1.75e-05,2.4,2.4,0.0
71,42,0.355,0.352,2.28,1.78e-05,2.4,2.4,0.0
72,43,0.351,0.349,2.17,1.8e-05,2.38,2.38,0.0
73,43,0.354,0.351,2.09,1.83e-05,2.3,2.3,0.0
74,43,0.355,0.352,2.16,1.85e-05,2.17,2.17,0.0
75,44,0.355,0.352,1.98,1.88e-05,2.2,2.2,0.0
76,44,0.356,0.353,1.91,1.9e-05,2.16,2.16,0.0
77,44,0.355,0.353,1.8,1.92e-05,2.17,2.17,0.0
78,45,0.351,0.349,1.79,1.95e-05,2.05,2.05,0.0
79,45,0.354,0.351,1.83,1.97e-05,1.98,1.98,0.0
80,46,0.353,0.351,1.7,2e-05,2.01,2.01,0.0
81,46,0.361,0.358,1.6,2.02e-05,1.97,1.97,0.0
82,46,0.353,0.351,1.59,2.05e-05,1.93,1.93,0.0
83,47,0.357,0.355,1.51,2.07e-05,1.87,1.87,0.0
84,47,0.358,0.356,1.44,2.1e-05,1.83,1.83,0.0
85,47,0.353,0.35,1.34,2.12e-05,1.77,1.77,0.0
86,48,0.352,0.349,1.22,2.15e-05,1.81,1.81,0.0
87,48,0.354,0.352,1.16,2.18e-05,1.77,1.77,0.0
88,48,0.354,0.352,1.01,2.2e-05,1.74,1.74,0.0
89,49,0.353,0.351,0.977,2.23e-05,1.7,1.7,0.0
90,49,0.352,0.349,0.949,2.25e-05,1.66,1.66,0.0
91,50,0.354,0.351,0.957,2.28e-05,1.66,1.66,0.0
92,50,0.354,0.351,1.1,2.3e-05,1.6,1.6,0.0
93,50,0.352,0.349,0.91,2.33e-05,1.64,1.64,0.0
94,51,0.354,0.352,0.883,2.35e-05,1.55,1.55,0.0
95,51,0.356,0.354,0.902,2.38e-05,1.61,1.61,0.0
96,51,0.36,0.358,0.887,2.4e-05,1.56,1.56,0.0
97,52,0.354,0.352,0.891,2.42e-05,1.55,1.55,0.0
98,52,0.353,0.351,0.848,2.45e-05,1.58,1.58,0.0
99,52,0.353,0.351,1.01,2.47e-05,1.59,1.59,0.0
100,53,0.354,0.352,0.879,2.5e-05,1.51,1.51,0.0
101,53,0.354,0.351,0.828,2.5e-05,1.47,1.47,0.0
102,53,0.354,0.352,0.875,2.5e-05,1.48,1.48,0.0
103,54,0.354,0.351,0.844,2.5e-05,1.41,1.41,0.0
104,54,0.353,0.351,0.84,2.5e-05,1.39,1.39,0.0
105,55,0.353,0.35,0.891,2.5e-05,1.4,1.4,0.0
106,55,0.353,0.35,0.84,2.5e-05,1.44,1.44,0.0
107,55,0.352,0.349,0.867,2.5e-05,1.43,1.43,0.0
108,56,0.353,0.351,0.809,2.5e-05,1.39,1.39,0.0
109,56,0.354,0.352,0.727,2.5e-05,1.37,1.37,0.0
110,56,0.353,0.35,0.77,2.5e-05,1.37,1.37,0.0
111,57,0.353,0.35,0.793,2.5e-05,1.35,1.35,0.0
112,57,0.353,0.35,0.746,2.5e-05,1.37,1.37,0.0
113,57,0.354,0.352,0.789,2.5e-05,1.3,1.3,0.0
114,58,0.352,0.35,0.738,2.5e-05,1.33,1.33,0.0
115,58,0.353,0.35,0.762,2.5e-05,1.23,1.23,0.0
116,58,0.354,0.351,0.789,2.5e-05,1.33,1.33,0.0
117,59,0.355,0.352,0.637,2.5e-05,1.27,1.27,0.0
118,59,0.352,0.35,0.715,2.5e-05,1.28,1.28,0.0
119,60,0.352,0.35,0.695,2.5e-05,1.31,1.31,0.0
120,60,0.352,0.35,0.707,2.5e-05,1.24,1.24,0.0
121,60,0.353,0.35,0.633,2.5e-05,1.23,1.23,0.0
122,61,0.354,0.352,0.773,2.5e-05,1.27,1.27,0.0
123,61,0.358,0.355,0.73,2.5e-05,1.26,1.26,0.0
124,61,0.355,0.352,0.656,2.5e-05,1.24,1.24,0.0
125,62,0.354,0.352,0.703,2.5e-05,1.21,1.21,0.0
126,62,0.365,0.362,0.703,2.5e-05,1.21,1.21,0.0
127,62,0.361,0.358,0.695,2.5e-05,1.24,1.24,0.0
128,63,0.356,0.353,0.664,2.5e-05,1.19,1.19,0.0
129,63,0.362,0.359,0.672,2.5e-05,1.22,1.22,0.0
130,63,0.354,0.351,0.695,2.5e-05,1.21,1.21,0.0
131,64,0.352,0.35,0.816,2.5e-05,1.19,1.19,0.0
132,64,0.358,0.356,0.688,2.5e-05,1.17,1.17,0.0
133,65,0.36,0.358,0.68,2.5e-05,1.14,1.14,0.0
134,65,0.355,0.353,0.691,2.5e-05,1.17,1.17,0.0
135,65,0.359,0.357,0.719,2.5e-05,1.2,1.2,0.0
136,66,0.358,0.355,0.641,2.5e-05,1.12,1.12,0.0
137,66,0.355,0.352,0.672,2.5e-05,1.13,1.13,0.0
138,66,0.354,0.352,0.715,2.5e-05,1.12,1.12,0.0
139,67,0.355,0.352,0.676,2.5e-05,1.14,1.14,0.0
140,67,0.355,0.352,0.668,2.5e-05,1.13,1.13,0.0
141,67,0.351,0.349,0.711,2.5e-05,1.12,1.12,0.0
142,68,0.353,0.35,0.695,2.5e-05,1.11,1.11,0.0
143,68,0.355,0.352,0.684,2.5e-05,1.08,1.08,0.0
144,69,0.354,0.351,0.691,2.5e-05,1.08,1.08,0.0
145,69,0.352,0.35,0.695,2.5e-05,1.07,1.07,0.0
146,69,0.353,0.351,0.738,2.5e-05,1.1,1.1,0.0
147,70,0.353,0.35,0.641,2.5e-05,1.09,1.09,0.0
148,70,0.355,0.353,0.73,2.5e-05,1.1,1.1,0.0
149,70,0.355,0.353,0.922,2.5e-05,1.11,1.11,0.0
150,71,0.354,0.352,0.629,2.5e-05,1.07,1.07,0.0
151,71,0.353,0.351,0.863,2.5e-05,1.07,1.07,0.0
152,71,0.353,0.35,0.852,2.5e-05,1.1,1.1,0.0
153,72,0.354,0.351,0.641,2.5e-05,1.07,1.07,0.0
154,72,0.353,0.35,0.688,2.5e-05,1.08,1.08,0.0
155,72,0.353,0.35,0.664,2.5e-05,1.02,1.02,0.0
156,73,0.363,0.36,0.871,2.5e-05,1.05,1.05,0.0
157,73,0.354,0.351,0.688,2.5e-05,1.05,1.05,0.0
158,74,0.353,0.351,0.664,2.49e-05,1.08,1.08,0.0
159,74,0.354,0.351,0.707,2.49e-05,1.02,1.02,0.0
160,74,0.354,0.352,0.707,2.49e-05,1.04,1.04,0.0
161,75,0.353,0.35,0.742,2.49e-05,1.07,1.07,0.0
162,75,0.354,0.352,0.617,2.49e-05,1.03,1.03,0.0
163,75,0.354,0.351,0.664,2.49e-05,1.0,1.0,0.0
164,76,0.355,0.352,0.621,2.49e-05,1.01,1.01,0.0
165,76,0.356,0.353,0.746,2.49e-05,1.03,1.03,0.0
166,76,0.356,0.353,0.691,2.49e-05,1.04,1.04,0.0
167,77,0.355,0.353,0.672,2.49e-05,1.01,1.01,0.0
168,77,0.353,0.35,0.66,2.49e-05,1.04,1.04,0.0
169,77,0.353,0.35,0.754,2.49e-05,0.993,0.993,0.0
170,78,0.353,0.35,0.766,2.49e-05,0.97,0.97,0.0
171,78,0.352,0.349,0.812,2.49e-05,0.974,0.974,0.0
172,79,0.353,0.35,0.891,2.49e-05,0.988,0.988,0.0
173,79,0.361,0.358,0.703,2.49e-05,1.05,1.05,0.0
174,79,0.356,0.354,0.746,2.49e-05,1.01,1.01,0.0
175,80,0.352,0.35,0.77,2.49e-05,0.986,0.986,0.0
176,80,0.352,0.349,0.664,2.49e-05,0.987,0.987,0.0
177,80,0.36,0.357,0.766,2.49e-05,0.969,0.969,0.0
178,81,0.354,0.351,0.91,2.49e-05,0.98,0.98,0.0
179,81,0.355,0.352,0.855,2.49e-05,0.958,0.958,0.0
180,81,0.352,0.349,0.773,2.49e-05,0.997,0.997,0.0
181,82,0.353,0.351,1.14,2.49e-05,0.98,0.98,0.0
182,82,0.358,0.356,0.773,2.49e-05,0.959,0.959,0.0
183,83,0.356,0.353,0.984,2.49e-05,0.974,0.974,0.0
184,83,0.352,0.35,1.23,2.49e-05,0.951,0.951,0.0
185,83,0.356,0.353,0.887,2.49e-05,0.969,0.969,0.0
186,84,0.358,0.356,1.69,2.49e-05,0.995,0.995,0.0
187,84,0.356,0.353,0.996,2.49e-05,0.951,0.951,0.0
188,84,0.354,0.351,1.88,2.49e-05,0.984,0.984,0.0
189,85,0.354,0.352,1.66,2.49e-05,0.976,0.976,0.0
190,85,0.354,0.351,1.4,2.49e-05,0.966,0.966,0.0
191,85,0.354,0.351,1.34,2.49e-05,0.936,0.936,0.0
192,86,0.354,0.352,0.918,2.49e-05,0.959,0.959,0.0
193,86,0.353,0.35,1.22,2.49e-05,0.96,0.96,0.0
194,86,0.354,0.352,0.828,2.49e-05,0.902,0.902,0.0
195,87,0.352,0.35,1.1,2.49e-05,0.927,0.927,0.0
196,87,0.353,0.351,0.863,2.49e-05,0.963,0.963,0.0
197,88,0.356,0.354,1.12,2.49e-05,0.944,0.944,0.0
198,88,0.352,0.349,0.82,2.49e-05,0.939,0.939,0.0
199,88,0.355,0.353,0.93,2.48e-05,0.942,0.942,0.0
200,89,0.355,0.352,0.836,2.48e-05,0.913,0.913,0.0
201,89,0.355,0.353,1.12,2.48e-05,0.934,0.934,0.0
202,89,0.354,0.352,0.77,2.48e-05,0.964,0.964,0.0
203,90,0.352,0.35,0.984,2.48e-05,0.95,0.95,0.0
204,90,0.353,0.35,0.844,2.48e-05,0.916,0.916,0.0
205,90,0.352,0.349,0.953,2.48e-05,0.911,0.911,0.0
206,91,0.354,0.352,0.914,2.48e-05,0.966,0.966,0.0
207,91,0.355,0.353,1.09,2.48e-05,0.889,0.889,0.0
208,91,0.355,0.352,0.93,2.48e-05,0.956,0.956,0.0
209,92,0.355,0.353,1.41,2.48e-05,0.906,0.906,0.0
210,92,0.352,0.349,1.05,2.48e-05,0.93,0.93,0.0
211,93,0.352,0.35,1.15,2.48e-05,0.925,0.925,0.0
212,93,0.351,0.349,1.12,2.48e-05,0.919,0.919,0.0
213,93,0.353,0.35,1.12,2.48e-05,0.916,0.916,0.0
214,94,0.355,0.352,1.08,2.48e-05,0.934,0.934,0.0
215,94,0.357,0.355,1.08,2.48e-05,0.912,0.912,0.0
216,94,0.355,0.353,0.793,2.48e-05,0.901,0.901,0.0
217,95,0.353,0.351,0.961,2.48e-05,0.907,0.907,0.0
218,95,0.356,0.353,0.715,2.48e-05,0.917,0.917,0.0
219,95,0.353,0.35,0.988,2.48e-05,0.899,0.899,0.0
220,96,0.352,0.35,0.703,2.48e-05,0.924,0.924,0.0
221,96,0.353,0.351,0.844,2.48e-05,0.908,0.908,0.0
222,96,0.352,0.349,0.625,2.48e-05,0.898,0.898,0.0
223,97,0.352,0.349,0.699,2.48e-05,0.874,0.874,0.0
224,97,0.352,0.35,0.73,2.48e-05,0.942,0.942,0.0
225,98,0.987,0.985,0.781,2.48e-05,0.905,0.905,0.0
226,99,0.352,0.35,0.691,2.48e-05,0.896,0.896,0.0
227,99,0.36,0.358,1.05,2.48e-05,0.891,0.891,0.0
228,99,0.352,0.35,0.738,2.47e-05,0.885,0.885,0.0
229,100,0.359,0.357,1.02,2.47e-05,0.904,0.904,0.0
230,100,0.352,0.349,1.48,2.47e-05,0.892,0.892,0.0
231,100,0.362,0.36,0.828,2.47e-05,0.864,0.864,0.0
232,101,0.352,0.35,1.42,2.47e-05,0.889,0.889,0.0
233,101,0.364,0.361,1.0,2.47e-05,0.874,0.874,0.0
234,101,0.351,0.349,2.12,2.47e-05,0.833,0.833,0.0
235,102,0.352,0.349,1.91,2.47e-05,0.846,0.846,0.0
236,102,0.352,0.35,1.2,2.47e-05,0.94,0.94,0.0
237,102,0.362,0.36,1.46,2.47e-05,0.914,0.914,0.0
238,103,0.358,0.355,1.02,2.47e-05,0.876,0.876,0.0
239,103,0.357,0.354,0.965,2.47e-05,0.849,0.849,0.0
240,104,0.352,0.35,1.23,2.47e-05,0.896,0.896,0.0
241,104,0.354,0.352,1.05,2.47e-05,0.874,0.874,0.0
242,104,0.36,0.358,1.82,2.47e-05,0.883,0.883,0.0
243,105,0.357,0.354,1.72,2.47e-05,0.851,0.851,0.0
244,105,0.353,0.35,1.19,2.47e-05,0.839,0.839,0.0
245,105,0.354,0.351,1.55,2.47e-05,0.901,0.901,0.0
246,106,0.354,0.351,0.898,2.47e-05,0.839,0.839,0.0
247,106,0.354,0.352,0.98,2.47e-05,0.847,0.847,0.0
248,106,0.354,0.352,0.777,2.47e-05,0.859,0.859,0.0
249,107,0.355,0.352,0.816,2.47e-05,0.826,0.826,0.0
250,107,0.356,0.354,0.688,2.47e-05,0.858,0.858,0.0
251,108,0.355,0.352,1.0,2.47e-05,0.819,0.819,0.0
252,108,0.354,0.352,0.965,2.46e-05,0.82,0.82,0.0
253,108,0.354,0.351,0.656,2.46e-05,0.876,0.876,0.0
254,109,0.354,0.352,1.03,2.46e-05,0.862,0.862,0.0
255,109,0.353,0.351,0.758,2.46e-05,0.839,0.839,0.0
256,109,0.353,0.351,0.746,2.46e-05,0.855,0.855,0.0
257,110,0.353,0.35,0.836,2.46e-05,0.852,0.852,0.0
258,110,0.352,0.35,0.746,2.46e-05,0.875,0.875,0.0
259,110,0.354,0.352,0.762,2.46e-05,0.846,0.846,0.0
260,111,0.355,0.352,0.828,2.46e-05,0.856,0.856,0.0
261,111,0.356,0.353,0.883,2.46e-05,0.858,0.858,0.0
262,111,0.352,0.35,0.656,2.46e-05,0.837,0.837,0.0
263,112,0.353,0.35,1.2,2.46e-05,0.854,0.854,0.0
264,112,0.353,0.351,1.05,2.46e-05,0.845,0.845,0.0
265,113,0.352,0.35,0.926,2.46e-05,0.83,0.83,0.0
266,113,0.353,0.351,0.973,2.46e-05,0.846,0.846,0.0
267,113,0.353,0.351,1.11,2.46e-05,0.857,0.857,0.0
268,114,0.357,0.354,1.7,2.46e-05,0.837,0.837,0.0
269,114,0.356,0.354,0.961,2.46e-05,0.818,0.818,0.0
270,114,0.354,0.351,2.48,2.46e-05,0.812,0.812,0.0
271,115,0.354,0.351,1.81,2.46e-05,0.821,0.821,0.0
272,115,0.353,0.351,1.98,2.45e-05,0.844,0.844,0.0
273,115,0.353,0.35,1.98,2.45e-05,0.837,0.837,0.0
274,116,0.352,0.349,1.79,2.45e-05,0.848,0.848,0.0
275,116,0.353,0.351,1.56,2.45e-05,0.834,0.834,0.0
276,116,0.353,0.351,1.71,2.45e-05,0.842,0.842,0.0
277,117,0.355,0.352,1.16,2.45e-05,0.848,0.848,0.0
278,117,0.354,0.351,2.47,2.45e-05,0.832,0.832,0.0
279,118,0.354,0.352,2.16,2.45e-05,0.827,0.827,0.0
280,118,0.352,0.35,1.37,2.45e-05,0.844,0.844,0.0
281,118,0.353,0.351,1.23,2.45e-05,0.835,0.835,0.0
282,119,0.352,0.35,1.23,2.45e-05,0.819,0.819,0.0
283,119,0.353,0.351,0.871,2.45e-05,0.832,0.832,0.0
284,119,0.364,0.361,1.52,2.45e-05,0.792,0.792,0.0
285,120,0.354,0.351,0.922,2.45e-05,0.802,0.802,0.0
286,120,0.354,0.352,0.914,2.45e-05,0.794,0.794,0.0
287,120,0.354,0.352,1.46,2.45e-05,0.827,0.827,0.0
288,121,0.352,0.349,0.863,2.45e-05,0.829,0.829,0.0
289,121,0.352,0.35,1.98,2.45e-05,0.783,0.783,0.0
290,121,0.35,0.348,1.47,2.44e-05,0.807,0.807,0.0
291,122,0.352,0.35,2.45,2.44e-05,0.83,0.83,0.0
292,122,0.351,0.348,2.33,2.44e-05,0.83,0.83,0.0
293,123,0.352,0.35,1.14,2.44e-05,0.814,0.814,0.0
294,123,0.353,0.35,1.66,2.44e-05,0.798,0.798,0.0
295,123,0.351,0.349,1.02,2.44e-05,0.843,0.843,0.0
296,124,0.353,0.351,1.04,2.44e-05,0.826,0.826,0.0
297,124,0.351,0.349,0.965,2.44e-05,0.827,0.827,0.0
298,124,0.351,0.349,1.16,2.44e-05,0.783,0.783,0.0
299,125,0.352,0.349,0.797,2.44e-05,0.81,0.81,0.0
300,125,0.35,0.348,0.773,2.44e-05,0.811,0.811,0.0
301,125,0.354,0.352,0.812,2.44e-05,0.817,0.817,0.0
302,126,0.354,0.352,0.836,2.44e-05,0.813,0.813,0.0
303,126,0.351,0.348,0.961,2.44e-05,0.785,0.785,0.0
304,126,0.357,0.355,1.23,2.44e-05,0.795,0.795,0.0
305,127,0.356,0.354,0.914,2.44e-05,0.816,0.816,0.0
306,127,0.36,0.358,1.14,2.44e-05,0.799,0.799,0.0
307,128,0.351,0.349,0.98,2.43e-05,0.795,0.795,0.0
308,128,0.354,0.352,0.898,2.43e-05,0.782,0.782,0.0
309,128,0.361,0.359,0.699,2.43e-05,0.772,0.772,0.0
310,129,0.354,0.351,0.777,2.43e-05,0.805,0.805,0.0
311,129,0.356,0.354,0.766,2.43e-05,0.787,0.787,0.0
312,129,0.356,0.354,0.996,2.43e-05,0.797,0.797,0.0
313,130,0.355,0.352,1.2,2.43e-05,0.79,0.79,0.0
314,130,0.352,0.35,0.949,2.43e-05,0.781,0.781,0.0
315,130,0.353,0.351,0.82,2.43e-05,0.773,0.773,0.0
316,131,0.354,0.351,0.648,2.43e-05,0.747,0.747,0.0
317,131,0.355,0.353,0.945,2.43e-05,0.781,0.781,0.0
318,132,0.355,0.353,1.29,2.43e-05,0.759,0.759,0.0
319,132,0.355,0.352,0.902,2.43e-05,0.792,0.792,0.0
320,132,0.356,0.353,0.777,2.43e-05,0.773,0.773,0.0
321,133,0.354,0.352,0.832,2.43e-05,0.776,0.776,0.0
322,133,0.352,0.35,1.16,2.43e-05,0.804,0.804,0.0
323,133,0.353,0.351,1.44,2.42e-05,0.818,0.818,0.0
324,134,0.353,0.351,0.828,2.42e-05,0.789,0.789,0.0
325,134,0.354,0.351,1.17,2.42e-05,0.775,0.775,0.0
326,134,0.353,0.351,0.793,2.42e-05,0.786,0.786,0.0
327,135,0.353,0.351,0.789,2.42e-05,0.762,0.762,0.0
328,135,0.354,0.351,1.27,2.42e-05,0.746,0.746,0.0
329,135,0.353,0.351,1.3,2.42e-05,0.762,0.762,0.0
330,136,0.353,0.35,1.47,2.42e-05,0.784,0.784,0.0
331,136,0.352,0.349,0.699,2.42e-05,0.781,0.781,0.0
332,137,0.353,0.351,1.36,2.42e-05,0.769,0.769,0.0
333,137,0.353,0.35,0.871,2.42e-05,0.772,0.772,0.0
334,137,0.354,0.352,0.797,2.42e-05,0.785,0.785,0.0
335,138,0.665,0.663,1.41,2.42e-05,0.778,0.778,0.0
336,138,0.349,0.347,1.24,2.42e-05,0.782,0.782,0.0
337,139,0.354,0.351,0.941,2.41e-05,0.759,0.759,0.0
338,139,0.354,0.351,1.76,2.41e-05,0.771,0.771,0.0
339,139,0.354,0.351,1.56,2.41e-05,0.725,0.725,0.0
340,140,0.355,0.353,0.945,2.41e-05,0.782,0.782,0.0
341,140,0.355,0.352,3.36,2.41e-05,0.763,0.763,0.0
342,140,0.355,0.352,2.66,2.41e-05,0.775,0.775,0.0
343,141,0.353,0.35,3.02,2.41e-05,0.797,0.797,0.0
344,141,0.352,0.35,2.97,2.41e-05,0.753,0.753,0.0
345,141,0.354,0.352,0.742,2.41e-05,0.754,0.754,0.0
346,142,0.352,0.35,4.06,2.41e-05,0.782,0.782,0.0
347,142,0.352,0.35,3.38,2.41e-05,0.784,0.784,0.0
348,143,0.354,0.352,1.94,2.41e-05,0.773,0.773,0.0
349,143,0.354,0.351,2.17,2.41e-05,0.756,0.756,0.0
350,143,0.354,0.352,0.801,2.41e-05,0.757,0.757,0.0
351,144,0.353,0.351,1.7,2.4e-05,0.788,0.788,0.0
352,144,0.352,0.349,0.992,2.4e-05,0.757,0.757,0.0
353,144,0.353,0.35,1.74,2.4e-05,0.78,0.78,0.0
354,145,0.352,0.349,0.996,2.4e-05,0.774,0.774,0.0
355,145,0.355,0.353,0.926,2.4e-05,0.753,0.753,0.0
356,145,0.356,0.353,0.992,2.4e-05,0.759,0.759,0.0
357,146,0.355,0.353,0.875,2.4e-05,0.741,0.741,0.0
358,146,0.356,0.353,0.746,2.4e-05,0.765,0.765,0.0
359,146,0.353,0.351,1.1,2.4e-05,0.79,0.79,0.0
360,147,0.354,0.352,1.66,2.4e-05,0.734,0.734,0.0
361,147,0.354,0.351,0.918,2.4e-05,0.751,0.751,0.0
362,148,0.352,0.35,1.5,2.4e-05,0.742,0.742,0.0
363,148,0.354,0.352,1.1,2.4e-05,0.76,0.76,0.0
364,148,0.353,0.351,1.72,2.39e-05,0.756,0.756,0.0
365,149,0.353,0.351,0.984,2.39e-05,0.75,0.75,0.0
366,149,0.354,0.351,1.77,2.39e-05,0.754,0.754,0.0
367,149,0.355,0.352,1.42,2.39e-05,0.73,0.73,0.0
368,150,0.356,0.354,2.78,2.39e-05,0.73,0.73,0.0
369,150,0.355,0.353,2.55,2.39e-05,0.73,0.73,0.0
370,150,0.353,0.351,1.11,2.39e-05,0.749,0.749,0.0
371,151,0.352,0.35,1.71,2.39e-05,0.748,0.748,0.0
372,151,0.352,0.35,0.957,2.39e-05,0.761,0.761,0.0
373,151,0.353,0.35,1.73,2.39e-05,0.766,0.766,0.0
374,152,0.352,0.35,1.15,2.39e-05,0.737,0.737,0.0
375,152,0.356,0.353,1.86,2.39e-05,0.745,0.745,0.0
376,153,0.356,0.354,1.94,2.38e-05,0.768,0.768,0.0
377,153,0.354,0.351,1.42,2.38e-05,0.744,0.744,0.0
378,153,0.355,0.353,1.59,2.38e-05,0.76,0.76,0.0
379,154,0.354,0.352,1.02,2.38e-05,0.711,0.711,0.0
380,154,0.352,0.35,1.74,2.38e-05,0.742,0.742,0.0
381,154,0.353,0.351,1.09,2.38e-05,0.74,0.74,0.0
382,155,0.353,0.351,1.95,2.38e-05,0.768,0.768,0.0
383,155,0.358,0.356,1.73,2.38e-05,0.725,0.725,0.0
384,155,0.359,0.357,1.23,2.38e-05,0.737,0.737,0.0
385,156,0.354,0.352,2.19,2.38e-05,0.766,0.766,0.0
386,156,0.353,0.35,1.23,2.38e-05,0.734,0.734,0.0
387,157,0.352,0.35,4.22,2.38e-05,0.726,0.726,0.0
388,157,0.357,0.355,3.75,2.37e-05,0.726,0.726,0.0
389,157,0.369,0.367,2.06,2.37e-05,0.751,0.751,0.0
390,158,0.363,0.361,2.55,2.37e-05,0.76,0.76,0.0
391,158,0.358,0.355,2.17,2.37e-05,0.73,0.73,0.0
392,158,0.356,0.354,2.05,2.37e-05,0.756,0.756,0.0
393,159,0.352,0.35,1.48,2.37e-05,0.724,0.724,0.0
394,159,0.356,0.354,2.88,2.37e-05,0.71,0.71,0.0
395,159,0.358,0.356,1.86,2.37e-05,0.712,0.712,0.0
396,160,0.356,0.354,3.19,2.37e-05,0.728,0.728,0.0
397,160,0.359,0.356,3.19,2.37e-05,0.777,0.777,0.0
