trace_row,query_uid,episode_idx,eval_epoch,query_idx,action_slot_start,source_env_rank,stage_id,local_env_slot,reset_id,rollout_rank,video_worker_seed,video_index,video_tile_index,video_pre_frame,video_post_frame,video_relpath,success_before,head_image_relpath,left_wrist_image_relpath,right_wrist_image_relpath
13,ep000045_q000_reset100100046,45,0,0,0,2,0,13,100100046,2,2,0,13,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000045_q000_reset100100046__head.png,query_images/rollout_rank02/ep000045_q000_reset100100046__left_wrist.png,query_images/rollout_rank02/ep000045_q000_reset100100046__right_wrist.png
14,ep000046_q000_reset100100141,46,0,0,0,2,0,14,100100141,2,2,0,14,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000046_q000_reset100100141__head.png,query_images/rollout_rank02/ep000046_q000_reset100100141__left_wrist.png,query_images/rollout_rank02/ep000046_q000_reset100100141__right_wrist.png
15,ep000047_q000_reset100100137,47,0,0,0,2,0,15,100100137,2,2,0,15,0,1,seed_2/0.mp4,False,query_images/rollout_rank02/ep000047_q000_reset100100137__head.png,query_images/rollout_rank02/ep000047_q000_reset100100137__left_wrist.png,query_images/rollout_rank02/ep000047_q000_reset100100137__right_wrist.png
16,ep000032_q001_reset100100050,32,0,1,50,2,0,0,100100050,2,2,0,0,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000032_q001_reset100100050__head.png,query_images/rollout_rank02/ep000032_q001_reset100100050__left_wrist.png,query_images/rollout_rank02/ep000032_q001_reset100100050__right_wrist.png
17,ep000033_q001_reset100100005,33,0,1,50,2,0,1,100100005,2,2,0,1,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000033_q001_reset100100005__head.png,query_images/rollout_rank02/ep000033_q001_reset100100005__left_wrist.png,query_images/rollout_rank02/ep000033_q001_reset100100005__right_wrist.png
18,ep000034_q001_reset100100122,34,0,1,50,2,0,2,100100122,2,2,0,2,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000034_q001_reset100100122__head.png,query_images/rollout_rank02/ep000034_q001_reset100100122__left_wrist.png,query_images/rollout_rank02/ep000034_q001_reset100100122__right_wrist.png
19,ep000035_q001_reset100100008,35,0,1,50,2,0,3,100100008,2,2,0,3,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000035_q001_reset100100008__head.png,query_images/rollout_rank02/ep000035_q001_reset100100008__left_wrist.png,query_images/rollout_rank02/ep000035_q001_reset100100008__right_wrist.png
20,ep000036_q001_reset100100092,36,0,1,50,2,0,4,100100092,2,2,0,4,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000036_q001_reset100100092__head.png,query_images/rollout_rank02/ep000036_q001_reset100100092__left_wrist.png,query_images/rollout_rank02/ep000036_q001_reset100100092__right_wrist.png
21,ep000037_q001_reset100100133,37,0,1,50,2,0,5,100100133,2,2,0,5,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000037_q001_reset100100133__head.png,query_images/rollout_rank02/ep000037_q001_reset100100133__left_wrist.png,query_images/rollout_rank02/ep000037_q001_reset100100133__right_wrist.png
22,ep000038_q001_reset100100157,38,0,1,50,2,0,6,100100157,2,2,0,6,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000038_q001_reset100100157__head.png,query_images/rollout_rank02/ep000038_q001_reset100100157__left_wrist.png,query_images/rollout_rank02/ep000038_q001_reset100100157__right_wrist.png
23,ep000039_q001_reset100100152,39,0,1,50,2,0,7,100100152,2,2,0,7,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000039_q001_reset100100152__head.png,query_images/rollout_rank02/ep000039_q001_reset100100152__left_wrist.png,query_images/rollout_rank02/ep000039_q001_reset100100152__right_wrist.png
24,ep000040_q001_reset100100073,40,0,1,50,2,0,8,100100073,2,2,0,8,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000040_q001_reset100100073__head.png,query_images/rollout_rank02/ep000040_q001_reset100100073__left_wrist.png,query_images/rollout_rank02/ep000040_q001_reset100100073__right_wrist.png
25,ep000041_q001_reset100100074,41,0,1,50,2,0,9,100100074,2,2,0,9,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000041_q001_reset100100074__head.png,query_images/rollout_rank02/ep000041_q001_reset100100074__left_wrist.png,query_images/rollout_rank02/ep000041_q001_reset100100074__right_wrist.png
26,ep000042_q001_reset100100168,42,0,1,50,2,0,10,100100168,2,2,0,10,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000042_q001_reset100100168__head.png,query_images/rollout_rank02/ep000042_q001_reset100100168__left_wrist.png,query_images/rollout_rank02/ep000042_q001_reset100100168__right_wrist.png
27,ep000043_q001_reset100100051,43,0,1,50,2,0,11,100100051,2,2,0,11,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000043_q001_reset100100051__head.png,query_images/rollout_rank02/ep000043_q001_reset100100051__left_wrist.png,query_images/rollout_rank02/ep000043_q001_reset100100051__right_wrist.png
28,ep000044_q001_reset100100151,44,0,1,50,2,0,12,100100151,2,2,0,12,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000044_q001_reset100100151__head.png,query_images/rollout_rank02/ep000044_q001_reset100100151__left_wrist.png,query_images/rollout_rank02/ep000044_q001_reset100100151__right_wrist.png
29,ep000045_q001_reset100100046,45,0,1,50,2,0,13,100100046,2,2,0,13,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000045_q001_reset100100046__head.png,query_images/rollout_rank02/ep000045_q001_reset100100046__left_wrist.png,query_images/rollout_rank02/ep000045_q001_reset100100046__right_wrist.png
30,ep000046_q001_reset100100141,46,0,1,50,2,0,14,100100141,2,2,0,14,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000046_q001_reset100100141__head.png,query_images/rollout_rank02/ep000046_q001_reset100100141__left_wrist.png,query_images/rollout_rank02/ep000046_q001_reset100100141__right_wrist.png
31,ep000047_q001_reset100100137,47,0,1,50,2,0,15,100100137,2,2,0,15,1,2,seed_2/0.mp4,False,query_images/rollout_rank02/ep000047_q001_reset100100137__head.png,query_images/rollout_rank02/ep000047_q001_reset100100137__left_wrist.png,query_images/rollout_rank02/ep000047_q001_reset100100137__right_wrist.png
32,ep000032_q002_reset100100050,32,0,2,100,2,0,0,100100050,2,2,0,0,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000032_q002_reset100100050__head.png,query_images/rollout_rank02/ep000032_q002_reset100100050__left_wrist.png,query_images/rollout_rank02/ep000032_q002_reset100100050__right_wrist.png
33,ep000033_q002_reset100100005,33,0,2,100,2,0,1,100100005,2,2,0,1,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000033_q002_reset100100005__head.png,query_images/rollout_rank02/ep000033_q002_reset100100005__left_wrist.png,query_images/rollout_rank02/ep000033_q002_reset100100005__right_wrist.png
34,ep000034_q002_reset100100122,34,0,2,100,2,0,2,100100122,2,2,0,2,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000034_q002_reset100100122__head.png,query_images/rollout_rank02/ep000034_q002_reset100100122__left_wrist.png,query_images/rollout_rank02/ep000034_q002_reset100100122__right_wrist.png
35,ep000035_q002_reset100100008,35,0,2,100,2,0,3,100100008,2,2,0,3,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000035_q002_reset100100008__head.png,query_images/rollout_rank02/ep000035_q002_reset100100008__left_wrist.png,query_images/rollout_rank02/ep000035_q002_reset100100008__right_wrist.png
36,ep000036_q002_reset100100092,36,0,2,100,2,0,4,100100092,2,2,0,4,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000036_q002_reset100100092__head.png,query_images/rollout_rank02/ep000036_q002_reset100100092__left_wrist.png,query_images/rollout_rank02/ep000036_q002_reset100100092__right_wrist.png
37,ep000037_q002_reset100100133,37,0,2,100,2,0,5,100100133,2,2,0,5,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000037_q002_reset100100133__head.png,query_images/rollout_rank02/ep000037_q002_reset100100133__left_wrist.png,query_images/rollout_rank02/ep000037_q002_reset100100133__right_wrist.png
38,ep000038_q002_reset100100157,38,0,2,100,2,0,6,100100157,2,2,0,6,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000038_q002_reset100100157__head.png,query_images/rollout_rank02/ep000038_q002_reset100100157__left_wrist.png,query_images/rollout_rank02/ep000038_q002_reset100100157__right_wrist.png
39,ep000039_q002_reset100100152,39,0,2,100,2,0,7,100100152,2,2,0,7,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000039_q002_reset100100152__head.png,query_images/rollout_rank02/ep000039_q002_reset100100152__left_wrist.png,query_images/rollout_rank02/ep000039_q002_reset100100152__right_wrist.png
40,ep000040_q002_reset100100073,40,0,2,100,2,0,8,100100073,2,2,0,8,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000040_q002_reset100100073__head.png,query_images/rollout_rank02/ep000040_q002_reset100100073__left_wrist.png,query_images/rollout_rank02/ep000040_q002_reset100100073__right_wrist.png
41,ep000041_q002_reset100100074,41,0,2,100,2,0,9,100100074,2,2,0,9,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000041_q002_reset100100074__head.png,query_images/rollout_rank02/ep000041_q002_reset100100074__left_wrist.png,query_images/rollout_rank02/ep000041_q002_reset100100074__right_wrist.png
42,ep000042_q002_reset100100168,42,0,2,100,2,0,10,100100168,2,2,0,10,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000042_q002_reset100100168__head.png,query_images/rollout_rank02/ep000042_q002_reset100100168__left_wrist.png,query_images/rollout_rank02/ep000042_q002_reset100100168__right_wrist.png
43,ep000043_q002_reset100100051,43,0,2,100,2,0,11,100100051,2,2,0,11,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000043_q002_reset100100051__head.png,query_images/rollout_rank02/ep000043_q002_reset100100051__left_wrist.png,query_images/rollout_rank02/ep000043_q002_reset100100051__right_wrist.png
44,ep000044_q002_reset100100151,44,0,2,100,2,0,12,100100151,2,2,0,12,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000044_q002_reset100100151__head.png,query_images/rollout_rank02/ep000044_q002_reset100100151__left_wrist.png,query_images/rollout_rank02/ep000044_q002_reset100100151__right_wrist.png
45,ep000045_q002_reset100100046,45,0,2,100,2,0,13,100100046,2,2,0,13,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000045_q002_reset100100046__head.png,query_images/rollout_rank02/ep000045_q002_reset100100046__left_wrist.png,query_images/rollout_rank02/ep000045_q002_reset100100046__right_wrist.png
46,ep000046_q002_reset100100141,46,0,2,100,2,0,14,100100141,2,2,0,14,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000046_q002_reset100100141__head.png,query_images/rollout_rank02/ep000046_q002_reset100100141__left_wrist.png,query_images/rollout_rank02/ep000046_q002_reset100100141__right_wrist.png
47,ep000047_q002_reset100100137,47,0,2,100,2,0,15,100100137,2,2,0,15,2,3,seed_2/0.mp4,False,query_images/rollout_rank02/ep000047_q002_reset100100137__head.png,query_images/rollout_rank02/ep000047_q002_reset100100137__left_wrist.png,query_images/rollout_rank02/ep000047_q002_reset100100137__right_wrist.png
48,ep000032_q003_reset100100050,32,0,3,150,2,0,0,100100050,2,2,0,0,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000032_q003_reset100100050__head.png,query_images/rollout_rank02/ep000032_q003_reset100100050__left_wrist.png,query_images/rollout_rank02/ep000032_q003_reset100100050__right_wrist.png
49,ep000033_q003_reset100100005,33,0,3,150,2,0,1,100100005,2,2,0,1,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000033_q003_reset100100005__head.png,query_images/rollout_rank02/ep000033_q003_reset100100005__left_wrist.png,query_images/rollout_rank02/ep000033_q003_reset100100005__right_wrist.png
50,ep000034_q003_reset100100122,34,0,3,150,2,0,2,100100122,2,2,0,2,3,4,seed_2/0.mp4,False,query_images/rollout_rank02/ep000034_q003_reset100100122__head.png,query_images/rollout_rank02/ep000034_q003_reset100100122__left_wrist.png,query_images/rollout_rank02/ep000034_q003_reset100100122__right_wrist.png
51,ep000035_q003_reset100100008,35,0,3,150,2,0,3,100100008,2,2,0,3,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000035_q003_reset100100008__head.png,query_images/rollout_rank02/ep000035_q003_reset100100008__left_wrist.png,query_images/rollout_rank02/ep000035_q003_reset100100008__right_wrist.png
52,ep000036_q003_reset100100092,36,0,3,150,2,0,4,100100092,2,2,0,4,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000036_q003_reset100100092__head.png,query_images/rollout_rank02/ep000036_q003_reset100100092__left_wrist.png,query_images/rollout_rank02/ep000036_q003_reset100100092__right_wrist.png
53,ep000037_q003_reset100100133,37,0,3,150,2,0,5,100100133,2,2,0,5,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000037_q003_reset100100133__head.png,query_images/rollout_rank02/ep000037_q003_reset100100133__left_wrist.png,query_images/rollout_rank02/ep000037_q003_reset100100133__right_wrist.png
54,ep000038_q003_reset100100157,38,0,3,150,2,0,6,100100157,2,2,0,6,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000038_q003_reset100100157__head.png,query_images/rollout_rank02/ep000038_q003_reset100100157__left_wrist.png,query_images/rollout_rank02/ep000038_q003_reset100100157__right_wrist.png
55,ep000039_q003_reset100100152,39,0,3,150,2,0,7,100100152,2,2,0,7,3,4,seed_2/0.mp4,False,query_images/rollout_rank02/ep000039_q003_reset100100152__head.png,query_images/rollout_rank02/ep000039_q003_reset100100152__left_wrist.png,query_images/rollout_rank02/ep000039_q003_reset100100152__right_wrist.png
56,ep000040_q003_reset100100073,40,0,3,150,2,0,8,100100073,2,2,0,8,3,4,seed_2/0.mp4,False,query_images/rollout_rank02/ep000040_q003_reset100100073__head.png,query_images/rollout_rank02/ep000040_q003_reset100100073__left_wrist.png,query_images/rollout_rank02/ep000040_q003_reset100100073__right_wrist.png
57,ep000041_q003_reset100100074,41,0,3,150,2,0,9,100100074,2,2,0,9,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000041_q003_reset100100074__head.png,query_images/rollout_rank02/ep000041_q003_reset100100074__left_wrist.png,query_images/rollout_rank02/ep000041_q003_reset100100074__right_wrist.png
58,ep000042_q003_reset100100168,42,0,3,150,2,0,10,100100168,2,2,0,10,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000042_q003_reset100100168__head.png,query_images/rollout_rank02/ep000042_q003_reset100100168__left_wrist.png,query_images/rollout_rank02/ep000042_q003_reset100100168__right_wrist.png
59,ep000043_q003_reset100100051,43,0,3,150,2,0,11,100100051,2,2,0,11,3,4,seed_2/0.mp4,False,query_images/rollout_rank02/ep000043_q003_reset100100051__head.png,query_images/rollout_rank02/ep000043_q003_reset100100051__left_wrist.png,query_images/rollout_rank02/ep000043_q003_reset100100051__right_wrist.png
60,ep000044_q003_reset100100151,44,0,3,150,2,0,12,100100151,2,2,0,12,3,4,seed_2/0.mp4,False,query_images/rollout_rank02/ep000044_q003_reset100100151__head.png,query_images/rollout_rank02/ep000044_q003_reset100100151__left_wrist.png,query_images/rollout_rank02/ep000044_q003_reset100100151__right_wrist.png
61,ep000045_q003_reset100100046,45,0,3,150,2,0,13,100100046,2,2,0,13,3,4,seed_2/0.mp4,False,query_images/rollout_rank02/ep000045_q003_reset100100046__head.png,query_images/rollout_rank02/ep000045_q003_reset100100046__left_wrist.png,query_images/rollout_rank02/ep000045_q003_reset100100046__right_wrist.png
62,ep000046_q003_reset100100141,46,0,3,150,2,0,14,100100141,2,2,0,14,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000046_q003_reset100100141__head.png,query_images/rollout_rank02/ep000046_q003_reset100100141__left_wrist.png,query_images/rollout_rank02/ep000046_q003_reset100100141__right_wrist.png
63,ep000047_q003_reset100100137,47,0,3,150,2,0,15,100100137,2,2,0,15,3,4,seed_2/0.mp4,True,query_images/rollout_rank02/ep000047_q003_reset100100137__head.png,query_images/rollout_rank02/ep000047_q003_reset100100137__left_wrist.png,query_images/rollout_rank02/ep000047_q003_reset100100137__right_wrist.png
