frame_idx,worker_index,env_slot,episode_index_within_slot,recording_index,reset_id,query_idx,action_slot_start,chunk_len,control_idx,physics_idx,left_control_idx,left_control_len,right_control_idx,right_control_len,left_progress,right_progress,progress,h_float,h_lo,h_hi,h_fraction,success_after,first_success,query_end,capture_reason
35,0,0,0,0,57,0,0,50,357,357,358,500,358,500,0.716,0.716,0.716,35.083999999999996,35,36,0.08399999999999608,0,0,0,progress
36,0,0,0,0,57,0,0,50,367,367,368,500,368,500,0.736,0.736,0.736,36.064,36,37,0.06400000000000006,0,0,0,progress
37,0,0,0,0,57,0,0,50,377,377,378,500,378,500,0.756,0.756,0.756,37.044,37,38,0.04399999999999693,0,0,0,progress
38,0,0,0,0,57,0,0,50,387,387,388,500,388,500,0.776,0.776,0.776,38.024,38,39,0.02400000000000091,0,0,0,progress
39,0,0,0,0,57,0,0,50,397,397,398,500,398,500,0.796,0.796,0.796,39.004000000000005,39,40,0.0040000000000048885,0,0,0,progress
40,0,0,0,0,57,0,0,50,408,408,409,500,409,500,0.818,0.818,0.818,40.082,40,41,0.08200000000000074,0,0,0,progress
41,0,0,0,0,57,0,0,50,418,418,419,500,419,500,0.838,0.838,0.838,41.062,41,42,0.06199999999999761,0,0,0,progress
42,0,0,0,0,57,0,0,50,428,428,429,500,429,500,0.858,0.858,0.858,42.042,42,43,0.04200000000000159,0,0,0,progress
43,0,0,0,0,57,0,0,50,438,438,439,500,439,500,0.878,0.878,0.878,43.022,43,44,0.021999999999998465,0,0,0,progress
44,0,0,0,0,57,0,0,50,448,448,449,500,449,500,0.898,0.898,0.898,44.002,44,45,0.0020000000000024443,0,0,0,progress
45,0,0,0,0,57,0,0,50,459,459,460,500,460,500,0.92,0.92,0.92,45.080000000000005,45,46,0.0800000000000054,0,0,0,progress
46,0,0,0,0,57,0,0,50,469,469,470,500,470,500,0.94,0.94,0.94,46.059999999999995,46,47,0.05999999999999517,0,0,0,progress
47,0,0,0,0,57,0,0,50,479,479,480,500,480,500,0.96,0.96,0.96,47.04,47,48,0.03999999999999915,0,0,0,progress
48,0,0,0,0,57,0,0,50,489,489,490,500,490,500,0.98,0.98,0.98,48.019999999999996,48,49,0.01999999999999602,0,0,0,progress
49,0,0,0,0,57,0,0,50,499,499,500,500,500,500,1.0,1.0,1.0,49.0,49,49,0.0,0,0,1,query_end
50,0,0,0,0,57,1,50,50,0,500,1,500,1,500,0.002,0.002,0.002,0.098,0,1,0.098,0,0,0,progress
51,0,0,0,0,57,1,50,50,10,510,11,500,11,500,0.022,0.022,0.022,1.0779999999999998,1,2,0.07799999999999985,0,0,0,progress
52,0,0,0,0,57,1,50,50,20,520,21,500,21,500,0.042,0.042,0.042,2.0580000000000003,2,3,0.058000000000000274,0,0,0,progress
53,0,0,0,0,57,1,50,50,30,530,31,500,31,500,0.062,0.062,0.062,3.038,3,4,0.03799999999999981,0,0,0,progress
54,0,0,0,0,57,1,50,50,40,540,41,500,41,500,0.082,0.082,0.082,4.018,4,5,0.017999999999999794,0,0,0,progress
55,0,0,0,0,57,1,50,50,51,551,52,500,52,500,0.104,0.104,0.104,5.096,5,6,0.09600000000000009,0,0,0,progress
56,0,0,0,0,57,1,50,50,61,561,62,500,62,500,0.124,0.124,0.124,6.076,6,7,0.07599999999999962,0,0,0,progress
57,0,0,0,0,57,1,50,50,71,571,72,500,72,500,0.144,0.144,0.144,7.055999999999999,7,8,0.05599999999999916,0,0,0,progress
58,0,0,0,0,57,1,50,50,81,581,82,500,82,500,0.164,0.164,0.164,8.036,8,9,0.03599999999999959,0,0,0,progress
59,0,0,0,0,57,1,50,50,91,591,92,500,92,500,0.184,0.184,0.184,9.016,9,10,0.016000000000000014,0,0,0,progress
60,0,0,0,0,57,1,50,50,102,602,103,500,103,500,0.206,0.206,0.206,10.094,10,11,0.09399999999999942,0,0,0,progress
61,0,0,0,0,57,1,50,50,112,612,113,500,113,500,0.226,0.226,0.226,11.074,11,12,0.07399999999999984,0,0,0,progress
62,0,0,0,0,57,1,50,50,122,622,123,500,123,500,0.246,0.246,0.246,12.054,12,13,0.05400000000000027,0,0,0,progress
63,0,0,0,0,57,1,50,50,132,632,133,500,133,500,0.266,0.266,0.266,13.034,13,14,0.034000000000000696,0,0,0,progress
64,0,0,0,0,57,1,50,50,142,642,143,500,143,500,0.286,0.286,0.286,14.014,14,15,0.013999999999999346,0,0,0,progress
65,0,0,0,0,57,1,50,50,153,653,154,500,154,500,0.308,0.308,0.308,15.092,15,16,0.09200000000000053,0,0,0,progress
66,0,0,0,0,57,1,50,50,163,663,164,500,164,500,0.328,0.328,0.328,16.072,16,17,0.07199999999999918,0,0,0,progress
67,0,0,0,0,57,1,50,50,173,673,174,500,174,500,0.348,0.348,0.348,17.052,17,18,0.0519999999999996,0,0,0,progress
68,0,0,0,0,57,1,50,50,183,683,184,500,184,500,0.368,0.368,0.368,18.032,18,19,0.03200000000000003,0,0,0,progress
69,0,0,0,0,57,1,50,50,193,693,194,500,194,500,0.388,0.388,0.388,19.012,19,20,0.012000000000000455,0,0,0,progress
70,0,0,0,0,57,1,50,50,204,704,205,500,205,500,0.41,0.41,0.41,20.09,20,21,0.08999999999999986,0,0,0,progress
71,0,0,0,0,57,1,50,50,214,714,215,500,215,500,0.43,0.43,0.43,21.07,21,22,0.07000000000000028,0,0,0,progress
72,0,0,0,0,57,1,50,50,224,724,225,500,225,500,0.45,0.45,0.45,22.05,22,23,0.05000000000000071,0,0,0,progress
73,0,0,0,0,57,1,50,50,234,734,235,500,235,500,0.47,0.47,0.47,23.029999999999998,23,24,0.029999999999997584,0,0,0,progress
74,0,0,0,0,57,1,50,50,244,744,245,500,245,500,0.49,0.49,0.49,24.009999999999998,24,25,0.00999999999999801,0,0,0,progress
75,0,0,0,0,57,1,50,50,255,755,256,500,256,500,0.512,0.512,0.512,25.088,25,26,0.08800000000000097,0,0,0,progress
76,0,0,0,0,57,1,50,50,265,765,266,500,266,500,0.532,0.532,0.532,26.068,26,27,0.06800000000000139,0,0,0,progress
77,0,0,0,0,57,1,50,50,275,775,276,500,276,500,0.552,0.552,0.552,27.048000000000002,27,28,0.04800000000000182,0,0,0,progress
78,0,0,0,0,57,1,50,50,285,785,286,500,286,500,0.572,0.572,0.572,28.028,28,29,0.027999999999998693,0,0,0,progress
79,0,0,0,0,57,1,50,50,295,795,296,500,296,500,0.592,0.592,0.592,29.008,29,30,0.007999999999999119,0,0,0,progress
80,0,0,0,0,57,1,50,50,306,806,307,500,307,500,0.614,0.614,0.614,30.086,30,31,0.08599999999999852,0,0,0,progress
81,0,0,0,0,57,1,50,50,316,816,317,500,317,500,0.634,0.634,0.634,31.066,31,32,0.06599999999999895,0,0,0,progress
82,0,0,0,0,57,1,50,50,326,826,327,500,327,500,0.654,0.654,0.654,32.046,32,33,0.045999999999999375,0,0,0,progress
83,0,0,0,0,57,1,50,50,336,836,337,500,337,500,0.674,0.674,0.674,33.026,33,34,0.026000000000003354,0,0,0,progress
84,0,0,0,0,57,1,50,50,346,846,347,500,347,500,0.694,0.694,0.694,34.006,34,35,0.006000000000000227,0,0,0,progress
85,0,0,0,0,57,1,50,50,357,857,358,500,358,500,0.716,0.716,0.716,35.083999999999996,35,36,0.08399999999999608,0,0,0,progress
86,0,0,0,0,57,1,50,50,367,867,368,500,368,500,0.736,0.736,0.736,36.064,36,37,0.06400000000000006,0,0,0,progress
87,0,0,0,0,57,1,50,50,377,877,378,500,378,500,0.756,0.756,0.756,37.044,37,38,0.04399999999999693,0,0,0,progress
88,0,0,0,0,57,1,50,50,387,887,388,500,388,500,0.776,0.776,0.776,38.024,38,39,0.02400000000000091,0,0,0,progress
89,0,0,0,0,57,1,50,50,397,897,398,500,398,500,0.796,0.796,0.796,39.004000000000005,39,40,0.0040000000000048885,0,0,0,progress
90,0,0,0,0,57,1,50,50,408,908,409,500,409,500,0.818,0.818,0.818,40.082,40,41,0.08200000000000074,0,0,0,progress
91,0,0,0,0,57,1,50,50,418,918,419,500,419,500,0.838,0.838,0.838,41.062,41,42,0.06199999999999761,0,0,0,progress
92,0,0,0,0,57,1,50,50,428,928,429,500,429,500,0.858,0.858,0.858,42.042,42,43,0.04200000000000159,0,0,0,progress
93,0,0,0,0,57,1,50,50,438,938,439,500,439,500,0.878,0.878,0.878,43.022,43,44,0.021999999999998465,0,0,0,progress
94,0,0,0,0,57,1,50,50,448,948,449,500,449,500,0.898,0.898,0.898,44.002,44,45,0.0020000000000024443,0,0,0,progress
95,0,0,0,0,57,1,50,50,459,959,460,500,460,500,0.92,0.92,0.92,45.080000000000005,45,46,0.0800000000000054,0,0,0,progress
96,0,0,0,0,57,1,50,50,469,969,470,500,470,500,0.94,0.94,0.94,46.059999999999995,46,47,0.05999999999999517,0,0,0,progress
97,0,0,0,0,57,1,50,50,479,979,480,500,480,500,0.96,0.96,0.96,47.04,47,48,0.03999999999999915,0,0,0,progress
98,0,0,0,0,57,1,50,50,489,989,490,500,490,500,0.98,0.98,0.98,48.019999999999996,48,49,0.01999999999999602,0,0,0,progress
99,0,0,0,0,57,1,50,50,499,999,500,500,500,500,1.0,1.0,1.0,49.0,49,49,0.0,0,0,1,query_end
100,0,0,0,0,57,2,100,50,0,1000,1,500,1,500,0.002,0.002,0.002,0.098,0,1,0.098,0,0,0,progress
101,0,0,0,0,57,2,100,50,10,1010,11,500,11,500,0.022,0.022,0.022,1.0779999999999998,1,2,0.07799999999999985,0,0,0,progress
102,0,0,0,0,57,2,100,50,20,1020,21,500,21,500,0.042,0.042,0.042,2.0580000000000003,2,3,0.058000000000000274,0,0,0,progress
103,0,0,0,0,57,2,100,50,30,1030,31,500,31,500,0.062,0.062,0.062,3.038,3,4,0.03799999999999981,0,0,0,progress
104,0,0,0,0,57,2,100,50,40,1040,41,500,41,500,0.082,0.082,0.082,4.018,4,5,0.017999999999999794,0,0,0,progress
105,0,0,0,0,57,2,100,50,51,1051,52,500,52,500,0.104,0.104,0.104,5.096,5,6,0.09600000000000009,0,0,0,progress
106,0,0,0,0,57,2,100,50,61,1061,62,500,62,500,0.124,0.124,0.124,6.076,6,7,0.07599999999999962,0,0,0,progress
107,0,0,0,0,57,2,100,50,71,1071,72,500,72,500,0.144,0.144,0.144,7.055999999999999,7,8,0.05599999999999916,0,0,0,progress
108,0,0,0,0,57,2,100,50,81,1081,82,500,82,500,0.164,0.164,0.164,8.036,8,9,0.03599999999999959,0,0,0,progress
109,0,0,0,0,57,2,100,50,91,1091,92,500,92,500,0.184,0.184,0.184,9.016,9,10,0.016000000000000014,0,0,0,progress
110,0,0,0,0,57,2,100,50,102,1102,103,500,103,500,0.206,0.206,0.206,10.094,10,11,0.09399999999999942,0,0,0,progress
111,0,0,0,0,57,2,100,50,112,1112,113,500,113,500,0.226,0.226,0.226,11.074,11,12,0.07399999999999984,0,0,0,progress
112,0,0,0,0,57,2,100,50,122,1122,123,500,123,500,0.246,0.246,0.246,12.054,12,13,0.05400000000000027,0,0,0,progress
113,0,0,0,0,57,2,100,50,132,1132,133,500,133,500,0.266,0.266,0.266,13.034,13,14,0.034000000000000696,0,0,0,progress
114,0,0,0,0,57,2,100,50,139,1139,140,500,140,500,0.28,0.28,0.28,13.72,13,14,0.7200000000000006,1,1,0,success
